Date,rstar,g,z,output gap,,All results are output from the Stage 3 model.,,,,,,,,,Standard Errors,Date,y*,r*,g,,rrgap
2002-07-01,2.83081012523072,2.98737497335244,-0.156564848121722,-0.727102722189102,,,,,,,,,,,,2002-07-01,1.57444031675525,1.12871278102324,0.40043733768298,,-2.91335845479366
2002-10-01,2.5833230711797,2.83066868799262,-0.247345616812923,-0.794648002585632,,,,,,,,,,,,2002-10-01,1.57181547417704,1.13127721337729,0.400686553818044,,-2.85058316269434
2003-01-01,2.46251887593237,2.75940035471747,-0.2968814787851,-0.751916663864563,,,,,,,,,,,,2003-01-01,1.57589379541933,1.1339330181622,0.400787592015898,,-2.93180553805183
2003-04-01,2.45444970595559,2.74131455963306,-0.286864853677463,-0.452811033219291,,,,,,,,,,,,2003-04-01,1.57738432953051,1.13668084354815,0.400811162668418,,-2.75577042191054
2003-07-01,2.61355212105187,2.84524287714391,-0.231690756092035,0.142089887536599,,,,,,,,,,,,2003-07-01,1.57720579961837,1.13951395076006,0.400830297724799,,-3.07633534656288
2003-10-01,2.60712658423462,2.82393148434193,-0.216804900107308,0.700939284515016,,,,,,,,,,,,2003-10-01,1.57947476484412,1.14240417650252,0.400854183052722,,-3.18193309667606
2004-01-01,2.54155816424868,2.70637239166047,-0.164814227411794,1.19000140019284,,,,,,,,,,,,2004-01-01,1.57992446379914,1.1453562728162,0.400835496444971,,-3.34975771188357
2004-04-01,2.52292602594725,2.66641528739079,-0.143489261443539,1.507573295768,,,,,,,,,,,,2004-04-01,1.58246661070294,1.14840279919808,0.400769191229879,,-3.51494920314116
2004-07-01,2.41442058393111,2.67599721075173,-0.261576626820625,1.5262521105135,,,,,,,,,,,,2004-07-01,1.58505838703487,1.15154399035532,0.400689564103506,,-2.87543929926273
2004-10-01,2.47400669976713,2.67832383908812,-0.20431713932099,1.96448133668764,,,,,,,,,,,,2004-10-01,1.58888328089458,1.15475688812378,0.400617837230194,,-2.49339762901784
2005-01-01,2.5866671941543,2.70044941762849,-0.11378222347419,2.45903672814734,,,,,,,,,,,,2005-01-01,1.59551068076555,1.15802291361281,0.400558879476752,,-2.2294014639615
2005-04-01,2.41446750149147,2.63709126712874,-0.222623765637272,2.36438071850955,,,,,,,,,,,,2005-04-01,1.59834378818911,1.16131790991647,0.400501189505363,,-1.48707029793254
